date,site,lat,lon,da_raw,modis_sst,beuti,pdo,oni,sst_anom,discharge,modis_flr,pn_log,month,last_observed_da_raw,predicted_da,predicted_category,spike_probability,spike_alert,q05,q50,q95
2022-09-05,Cannon Beach,45.881944,-123.959444,0.47,9.96,-10.62,0.82,-0.26,-0.14,11578.8,0.00571,1.587,9,0.47,0.0,0,0.023,False,0.0,0.0,0.15
2022-09-12,Cannon Beach,45.881944,-123.959444,,10.06,-3.87,0.53,-0.47,0.34,7445.1,0.00749,1.036,9,0.47,2.21,0,0.039,False,0.0,2.21,9.1
2022-09-19,Cannon Beach,45.881944,-123.959444,,9.81,-10.3,0.31,-0.46,0.57,11990.1,0.00777,2.143,9,0.47,1.1,0,0.03,False,0.0,1.1,1.67
2022-09-26,Cannon Beach,45.881944,-123.959444,0.11,10.12,-18.59,0.17,-0.58,-0.72,10278.2,0.0131,2.077,9,0.11,1.83,0,0.036,False,1.07,1.83,3.24
2022-10-03,Cannon Beach,45.881944,-123.959444,,9.51,-15.18,0.66,-0.54,0.22,11115.3,0.00527,2.116,10,0.11,0.0,0,0.023,False,0.0,0.0,3.57
2022-10-10,Cannon Beach,45.881944,-123.959444,,8.99,-8.99,0.64,-0.7,-0.14,8255.0,0.00511,2.943,10,0.11,0.0,0,0.023,False,0.0,0.0,1.58
2022-10-17,Cannon Beach,45.881944,-123.959444,,8.83,-25.0,0.59,-0.57,0.91,10122.1,0.00621,0.755,10,0.11,0.0,0,0.023,False,0.0,0.0,6.27
2022-10-24,Cannon Beach,45.881944,-123.959444,,9.34,-8.48,0.84,-0.69,-0.12,2506.3,0.00925,1.574,10,0.11,1.09,0,0.03,False,0.0,1.09,2.48
2022-10-31,Cannon Beach,45.881944,-123.959444,0.83,9.04,2.63,0.33,-0.65,0.21,7908.6,0.00717,0.15,10,0.83,0.23,0,0.024,False,0.0,0.23,0.34
2022-11-07,Cannon Beach,45.881944,-123.959444,,8.84,-13.32,0.23,-0.43,0.68,6317.2,0.00656,2.439,11,0.83,4.6,0,0.069,False,0.58,4.6,7.15
2022-11-14,Cannon Beach,45.881944,-123.959444,,8.91,-5.53,0.23,-0.54,0.03,7560.9,0.00577,0.345,11,0.83,1.48,0,0.033,False,0.0,1.48,4.52
2022-11-21,Cannon Beach,45.881944,-123.959444,,8.58,-16.45,0.67,-0.55,0.94,2500.0,0.00506,1.932,11,0.83,0.95,0,0.029,False,0.0,0.95,2.65
2022-11-28,Cannon Beach,45.881944,-123.959444,,8.69,-7.18,0.39,-0.41,0.22,4862.8,0.00635,1.441,11,0.83,3.78,0,0.057,False,2.56,3.78,7.27
2022-12-05,Cannon Beach,45.881944,-123.959444,,9.01,-17.04,0.38,-0.42,-0.45,2700.0,0.00609,2.424,12,0.83,1.26,0,0.031,False,0.0,1.26,7.92
2022-12-12,Cannon Beach,45.881944,-123.959444,,9.27,-12.7,0.19,-0.59,-0.16,5687.1,0.00781,2.678,12,0.83,0.0,0,0.023,False,0.0,0.0,7.31
2022-12-19,Cannon Beach,45.881944,-123.959444,,8.97,-18.24,0.18,-0.44,0.45,3627.0,0.00549,2.479,12,0.83,0.5,0,0.026,False,0.0,0.5,1.58
2022-12-26,Cannon Beach,45.881944,-123.959444,,9.2,-7.71,0.38,-0.41,0.18,2500.0,0.01222,2.275,12,0.83,0.0,0,0.023,False,0.0,0.0,1.86
2022-01-03,Clatsop Beach,46.028889,-123.917222,,9.74,-15.66,-0.21,-1.03,-0.19,3915.4,0.00852,1.136,1,0.0,0.0,0,0.023,False,0.0,0.0,2.39
2022-01-10,Clatsop Beach,46.028889,-123.917222,,9.89,-9.63,-0.22,-0.75,-0.85,2898.2,0.00772,1.028,1,0.0,0.0,0,0.023,False,0.0,0.0,8.93
2022-01-17,Clatsop Beach,46.028889,-123.917222,,10.3,6.68,0.93,-0.66,0.29,4339.3,0.00619,2.919,1,0.0,5.66,1,0.088,False,3.61,5.66,27.25
2022-01-24,Clatsop Beach,46.028889,-123.917222,,10.78,3.27,0.41,-0.81,-0.22,3287.5,0.00557,1.507,1,0.0,0.0,0,0.023,False,0.0,0.0,0.81
2022-01-31,Clatsop Beach,46.028889,-123.917222,,10.59,3.86,0.29,-0.79,0.17,2909.8,0.00684,2.353,1,0.0,1.0,0,0.029,False,0.69,1.0,5.2
2022-02-07,Clatsop Beach,46.028889,-123.917222,,10.88,12.67,0.06,-0.97,-0.21,5178.1,0.0057,1.986,2,0.0,4.32,0,0.065,False,0.0,4.32,7.12
2022-02-14,Clatsop Beach,46.028889,-123.917222,,11.35,7.52,0.24,-1.09,0.26,3662.1,0.00538,2.527,2,0.0,4.96,0,0.075,False,3.19,4.96,6.58
2022-02-21,Clatsop Beach,46.028889,-123.917222,,11.64,-2.31,0.52,-0.68,0.07,4578.6,0.00662,2.35,2,0.0,5.9,1,0.093,False,3.83,5.9,7.85
2022-02-28,Clatsop Beach,46.028889,-123.917222,1.29,11.15,16.33,0.65,-0.67,-0.36,6826.6,0.00588,1.683,2,1.29,2.91,0,0.046,False,1.39,2.91,5.67
2022-03-07,Clatsop Beach,46.028889,-123.917222,,11.73,5.38,0.65,-0.78,0.22,4443.8,0.0071,3.346,3,1.29,5.34,1,0.082,False,2.91,5.34,9.08
2022-03-14,Clatsop Beach,46.028889,-123.917222,,12.43,16.27,0.2,-0.47,0.16,8206.6,0.01172,3.755,3,1.29,2.4,0,0.041,False,1.29,2.4,3.21
2022-03-21,Clatsop Beach,46.028889,-123.917222,1.55,12.98,12.69,0.02,-0.88,-0.07,6777.4,0.01564,4.192,3,1.55,2.39,0,0.041,False,0.33,2.39,6.62
2022-03-28,Clatsop Beach,46.028889,-123.917222,1.5,13.31,5.69,1.02,-0.88,0.95,6178.9,0.01265,5.174,3,1.5,5.66,1,0.088,False,2.94,5.66,8.54
2022-04-04,Clatsop Beach,46.028889,-123.917222,13.76,12.68,19.22,0.79,-0.98,-0.15,7059.8,0.01385,4.648,4,13.76,11.89,1,0.315,True,7.65,11.89,18.54
2022-04-11,Clatsop Beach,46.028889,-123.917222,30.5,12.92,17.75,0.56,-0.77,-0.01,7926.7,0.01485,4.886,4,30.5,23.59,2,0.895,True,13.51,23.59,34.17
2022-04-18,Clatsop Beach,46.028889,-123.917222,,13.21,25.6,0.72,-0.76,0.43,8574.8,0.01839,4.871,4,30.5,17.49,1,0.651,True,8.42,17.49,24.62
2022-04-25,Clatsop Beach,46.028889,-123.917222,2.38,13.51,8.13,0.84,-0.61,0.05,8208.5,0.02227,5.476,4,2.38,7.56,1,0.135,True,3.29,7.56,11.65
2022-05-02,Clatsop Beach,46.028889,-123.917222,2.22,13.83,6.08,0.72,-0.77,-0.48,8835.4,0.01964,5.16,5,2.22,8.46,1,0.163,True,3.67,8.46,12.1
2022-05-09,Clatsop Beach,46.028889,-123.917222,,13.55,6.73,0.4,-0.92,0.0,10630.7,0.01902,5.15,5,2.22,4.4,0,0.066,False,1.2,4.4,8.1
2022-05-16,Clatsop Beach,46.028889,-123.917222,20.5,13.61,21.76,0.62,-0.87,0.55,9185.2,0.02473,5.345,5,20.5,19.29,1,0.745,True,11.32,19.29,27.36
2022-05-23,Clatsop Beach,46.028889,-123.917222,,13.33,24.65,1.04,-0.37,0.25,12440.7,0.02174,5.334,5,20.5,6.09,1,0.097,False,3.94,6.09,10.21
2022-05-30,Clatsop Beach,46.028889,-123.917222,,13.91,19.71,1.22,-0.59,0.75,10705.2,0.02087,5.566,5,20.5,9.95,1,0.221,True,6.06,9.95,13.88
2022-06-06,Clatsop Beach,46.028889,-123.917222,,13.9,-1.87,1.29,-0.4,0.81,14828.6,0.02161,5.172,6,20.5,8.52,1,0.165,True,2.97,8.52,14.73
2022-06-13,Clatsop Beach,46.028889,-123.917222,21.02,13.18,19.57,1.11,-0.57,0.33,9287.6,0.02757,5.175,6,21.02,19.72,1,0.765,True,6.21,19.72,31.54
2022-06-20,Clatsop Beach,46.028889,-123.917222,2.06,13.29,6.62,1.23,-0.95,0.27,11393.9,0.02241,5.737,6,2.06,6.74,1,0.113,True,3.5,6.74,9.31
2022-06-27,Clatsop Beach,46.028889,-123.917222,,12.59,20.66,0.75,-0.49,0.48,11770.8,0.01948,5.18,6,2.06,8.86,1,0.177,True,5.85,8.86,13.75
2022-07-04,Clatsop Beach,46.028889,-123.917222,1.95,12.84,9.7,1.0,-0.77,0.88,15573.3,0.01759,5.243,7,1.95,3.89,0,0.059,False,2.43,3.89,5.34
2022-07-11,Clatsop Beach,46.028889,-123.917222,12.08,12.71,12.33,0.73,-0.72,0.65,14081.3,0.01684,4.814,7,12.08,9.77,1,0.213,True,5.84,9.77,15.85
2022-07-18,Clatsop Beach,46.028889,-123.917222,,12.56,33.11,0.83,-0.71,0.9,10572.3,0.01669,4.781,7,12.08,16.9,1,0.617,True,9.29,16.9,24.14
2022-07-25,Clatsop Beach,46.028889,-123.917222,8.82,12.53,-24.08,1.17,-0.53,-0.01,11226.7,0.01536,4.851,7,8.82,5.72,1,0.089,False,3.74,5.72,9.83
2022-08-01,Clatsop Beach,46.028889,-123.917222,24.02,12.34,6.86,1.1,-0.45,0.44,14278.6,0.01622,4.628,8,24.02,16.24,1,0.577,True,5.91,16.24,24.45
2022-08-08,Clatsop Beach,46.028889,-123.917222,0.87,11.84,1.4,0.69,-0.6,1.3,11436.8,0.013,4.145,8,0.87,4.03,0,0.061,False,2.07,4.03,13.05
2022-08-15,Clatsop Beach,46.028889,-123.917222,,11.56,0.6,0.77,-0.64,-0.13,13334.8,0.01006,4.02,8,0.87,3.21,0,0.05,False,0.0,3.21,6.61
2022-08-22,Clatsop Beach,46.028889,-123.917222,,11.35,-16.95,0.35,-0.57,0.34,14400.7,0.00852,3.737,8,0.87,2.87,0,0.046,False,0.0,2.87,6.39
2022-08-29,Clatsop Beach,46.028889,-123.917222,1.28,10.32,2.9,0.45,-0.29,0.07,13661.7,0.00698,1.358,8,1.28,2.38,0,0.041,False,0.0,2.38,4.66
2022-09-05,Clatsop Beach,46.028889,-123.917222,0.51,10.29,-12.56,0.35,-0.53,-0.68,9768.9,0.00654,3.113,9,0.51,7.64,1,0.137,True,3.69,7.64,19.12
2022-09-12,Clatsop Beach,46.028889,-123.917222,0.28,9.91,-8.6,0.83,-0.5,0.3,8486.6,0.00776,1.814,9,0.28,1.85,0,0.036,False,0.0,1.85,6.92
2022-09-19,Clatsop Beach,46.028889,-123.917222,,9.55,-5.88,0.72,-0.62,0.69,10110.6,0.00758,2.848,9,0.28,0.0,0,0.023,False,0.0,0.0,1.01
2022-09-26,Clatsop Beach,46.028889,-123.917222,0.27,9.09,-18.82,0.65,-0.52,1.05,7072.5,0.00525,2.713,9,0.27,0.0,0,0.023,False,0.0,0.0,5.58
2022-10-03,Clatsop Beach,46.028889,-123.917222,,9.68,-9.85,0.44,-0.37,0.4,7338.0,0.00512,2.112,10,0.27,0.0,0,0.023,False,0.0,0.0,1.7
2022-10-10,Clatsop Beach,46.028889,-123.917222,,8.96,-17.28,1.23,-0.62,0.27,7736.4,0.00774,1.763,10,0.27,0.0,0,0.023,False,0.0,0.0,5.29
2022-10-17,Clatsop Beach,46.028889,-123.917222,,9.1,-4.91,0.95,-0.57,0.89,7675.7,0.00799,2.315,10,0.27,0.34,0,0.025,False,0.0,0.34,5.64
2022-10-24,Clatsop Beach,46.028889,-123.917222,0.43,9.05,-25.0,0.2,-0.43,0.14,5843.7,0.00933,1.273,10,0.43,1.93,0,0.037,False,0.0,1.93,3.15
2022-10-31,Clatsop Beach,46.028889,-123.917222,0.12,8.63,-19.39,0.4,-0.49,0.27,2500.0,0.00698,2.959,10,0.12,0.64,0,0.027,False,0.0,0.64,4.46
2022-11-07,Clatsop Beach,46.028889,-123.917222,,9.24,0.29,0.58,-0.31,0.3,3639.1,0.00811,3.407,11,0.12,0.77,0,0.028,False,0.17,0.77,2.03
2022-11-14,Clatsop Beach,46.028889,-123.917222,,8.21,-13.59,0.6,-0.43,0.11,3612.7,0.00743,0.041,11,0.12,0.0,0,0.023,False,0.0,0.0,1.06
2022-11-21,Clatsop Beach,46.028889,-123.917222,,8.61,-14.52,0.17,-0.52,0.68,5657.1,0.00614,1.309,11,0.12,1.47,0,0.033,False,0.03,1.47,2.97
2022-11-28,Clatsop Beach,46.028889,-123.917222,,8.35,7.9,0.18,-0.64,0.27,3714.2,0.01033,1.808,11,0.12,0.0,0,0.023,False,0.0,0.0,3.88
2022-12-05,Clatsop Beach,46.028889,-123.917222,,9.22,-19.34,0.93,-0.69,0.55,4581.4,0.01104,2.548,12,0.12,0.0,0,0.023,False,0.0,0.0,0.78
2022-12-12,Clatsop Beach,46.028889,-123.917222,,9.02,-11.15,0.51,-0.55,-0.2,3134.2,0.00552,3.099,12,0.12,4.08,0,0.061,False,1.9,4.08,5.38
2022-12-19,Clatsop Beach,46.028889,-123.917222,0.96,9.07,6.62,-0.19,-0.57,0.52,6102.1,0.00553,2.204,12,0.96,1.7,0,0.035,False,0.0,1.7,5.99
2022-12-26,Clatsop Beach,46.028889,-123.917222,,9.67,-13.49,-0.16,-0.34,0.18,5807.4,0.00977,2.344,12,0.96,0.0,0,0.023,False,0.0,0.0,0.56
2022-01-03,Coos Bay,43.376389,-124.237222,0.68,9.38,-11.72,-0.63,-0.78,-0.47,3597.7,0.00738,0.661,1,0.68,4.58,0,0.069,False,3.06,4.58,6.38
2022-01-10,Coos Bay,43.376389,-124.237222,0.72,9.32,-8.32,0.17,-0.75,-0.53,4922.6,0.00967,2.415,1,0.72,1.98,0,0.037,False,0.0,1.98,3.4
2022-01-17,Coos Bay,43.376389,-124.237222,,9.73,4.86,0.3,-0.94,0.32,2500.0,0.00927,2.086,1,0.72,0.0,0,0.023,False,0.0,0.0,1.43
2022-01-24,Coos Bay,43.376389,-124.237222,,9.23,4.71,0.38,-0.6,-0.28,2500.0,0.01063,1.819,1,0.72,1.3,0,0.032,False,0.65,1.3,3.64
2022-01-31,Coos Bay,43.376389,-124.237222,,10.19,11.9,0.2,-0.82,-0.27,2581.4,0.00685,0.306,1,0.72,1.57,0,0.034,False,0.0,1.57,2.19
2022-02-07,Coos Bay,43.376389,-124.237222,,10.66,1.6,0.03,-0.87,-0.09,2500.0,0.00928,2.592,2,0.72,0.0,0,0.023,False,0.0,0.0,10.58
2022-02-14,Coos Bay,43.376389,-124.237222,0.62,10.39,6.23,0.37,-0.69,0.01,5243.1,0.00885,3.204,2,0.62,7.54,1,0.134,True,4.76,7.54,13.83
2022-02-21,Coos Bay,43.376389,-124.237222,0.61,11.09,7.48,0.53,-0.63,0.58,2747.0,0.00823,1.406,2,0.61,0.0,0,0.023,False,0.0,0.0,1.17
2022-02-28,Coos Bay,43.376389,-124.237222,,11.42,19.1,0.29,-0.81,-0.22,2583.1,0.00924,0.591,2,0.61,5.7,1,0.089,False,0.0,5.7,8.7
2022-03-07,Coos Bay,43.376389,-124.237222,,12.04,13.18,-0.09,-0.81,-0.26,5956.9,0.0087,2.822,3,0.61,1.98,0,0.037,False,0.62,1.98,4.38
2022-03-14,Coos Bay,43.376389,-124.237222,,12.23,18.55,0.62,-0.74,0.06,4519.7,0.00919,3.49,3,0.61,2.8,0,0.045,False,1.54,2.8,6.63
2022-03-21,Coos Bay,43.376389,-124.237222,12.42,12.27,6.49,1.53,-0.51,0.11,6661.7,0.01072,3.871,3,12.42,9.49,1,0.201,True,5.97,9.49,13.2
2022-03-28,Coos Bay,43.376389,-124.237222,,12.64,18.48,0.41,-0.77,0.34,5692.0,0.01481,4.489,3,12.42,11.94,1,0.318,True,6.08,11.94,16.77
2022-04-04,Coos Bay,43.376389,-124.237222,,12.44,29.81,0.72,-0.6,-0.04,5655.6,0.01483,4.23,4,12.42,5.33,1,0.082,False,2.2,5.33,12.94
2022-04-11,Coos Bay,43.376389,-124.237222,,12.73,18.1,0.26,-0.91,0.26,7418.6,0.01841,4.451,4,12.42,5.49,1,0.085,False,2.16,5.49,8.16
2022-04-18,Coos Bay,43.376389,-124.237222,,12.86,29.11,0.94,-0.66,-0.13,9003.5,0.01746,5.059,4,12.42,8.06,1,0.15,True,5.22,8.06,12.2
2022-04-25,Coos Bay,43.376389,-124.237222,8.53,13.17,4.8,0.97,-0.56,-0.07,9823.5,0.02196,5.011,4,8.53,4.09,0,0.061,False,0.0,4.09,11.54
2022-05-02,Coos Bay,43.376389,-124.237222,,13.56,-10.21,1.19,-0.5,0.29,10663.7,0.01852,5.245,5,8.53,8.7,1,0.172,True,5.02,8.7,14.9
2022-05-09,Coos Bay,43.376389,-124.237222,,13.2,7.91,0.32,-0.47,1.01,12192.7,0.02209,4.836,5,8.53,7.76,1,0.141,True,4.61,7.76,11.6
2022-05-16,Coos Bay,43.376389,-124.237222,,13.54,26.02,0.85,-0.86,0.26,12494.1,0.02968,4.983,5,8.53,5.36,1,0.082,False,2.7,5.36,10.55
2022-05-23,Coos Bay,43.376389,-124.237222,2.76,13.19,23.9,0.83,-0.71,0.75,10339.1,0.0216,5.028,5,2.76,6.17,1,0.099,False,3.41,6.17,8.25
2022-05-30,Coos Bay,43.376389,-124.237222,,13.65,14.59,0.89,-0.97,-0.12,13122.1,0.02097,5.547,5,2.76,8.06,1,0.15,True,2.37,8.06,14.75
2022-06-06,Coos Bay,43.376389,-124.237222,,14.05,19.75,0.58,-0.66,-0.12,8549.0,0.02009,4.807,6,2.76,8.38,1,0.16,True,1.59,8.38,13.2
2022-06-13,Coos Bay,43.376389,-124.237222,,12.9,5.72,0.25,-0.67,0.39,10548.6,0.0228,5.313,6,2.76,13.46,1,0.405,True,8.09,13.46,23.32
2022-06-20,Coos Bay,43.376389,-124.237222,2.57,13.35,18.46,0.8,-0.65,0.35,11931.6,0.02675,5.624,6,2.57,6.65,1,0.11,True,1.47,6.65,18.12
2022-06-27,Coos Bay,43.376389,-124.237222,,12.21,5.96,0.06,-0.86,-0.71,14441.5,0.01898,4.941,6,2.57,6.41,1,0.105,True,2.03,6.41,16.31
2022-07-04,Coos Bay,43.376389,-124.237222,,12.7,12.95,1.01,-0.24,1.28,11941.0,0.01998,5.063,7,2.57,7.96,1,0.147,True,1.29,7.96,17.82
2022-07-11,Coos Bay,43.376389,-124.237222,39.75,12.24,-14.73,0.6,-0.88,0.41,14247.0,0.02288,4.619,7,39.75,28.81,2,0.969,True,16.13,28.81,43.22
2022-07-18,Coos Bay,43.376389,-124.237222,2.44,12.02,-17.84,1.08,-0.64,-0.08,12297.2,0.01687,4.598,7,2.44,0.22,0,0.024,False,0.0,0.22,1.63
2022-07-25,Coos Bay,43.376389,-124.237222,0.9,11.36,-0.6,0.97,-0.81,0.47,12990.9,0.02022,4.531,7,0.9,0.0,0,0.023,False,0.0,0.0,1.88
2022-08-01,Coos Bay,43.376389,-124.237222,0.93,10.9,2.07,0.81,-0.63,0.52,12715.3,0.01428,4.11,8,0.93,1.14,0,0.03,False,0.0,1.14,5.0
2022-08-08,Coos Bay,43.376389,-124.237222,,10.71,14.28,0.74,-0.61,0.65,10717.4,0.01958,3.955,8,0.93,3.81,0,0.057,False,2.6,3.81,11.48
2022-08-15,Coos Bay,43.376389,-124.237222,,11.04,7.08,0.91,-0.39,0.38,13291.1,0.00933,3.751,8,0.93,0.0,0,0.023,False,0.0,0.0,0.7
2022-08-22,Coos Bay,43.376389,-124.237222,0.29,10.72,-5.53,0.39,-0.83,0.45,14030.1,0.00825,3.107,8,0.29,3.68,0,0.056,False,1.9,3.68,12.35
2022-08-29,Coos Bay,43.376389,-124.237222,,10.04,-2.12,0.73,-0.66,0.53,12276.1,0.01279,2.525,8,0.29,4.37,0,0.066,False,2.39,4.37,10.83
2022-09-05,Coos Bay,43.376389,-124.237222,1.54,9.47,-8.2,0.87,-0.42,0.07,9809.4,0.00972,0.525,9,1.54,0.31,0,0.025,False,0.0,0.31,11.97
2022-09-12,Coos Bay,43.376389,-124.237222,0.79,9.72,-0.43,0.95,-0.7,0.34,11764.5,0.0078,2.853,9,0.79,0.0,0,0.023,False,0.0,0.0,6.37
2022-09-19,Coos Bay,43.376389,-124.237222,,9.45,12.06,0.64,-0.68,0.36,6616.1,0.00764,2.729,9,0.79,2.49,0,0.042,False,0.31,2.49,4.25
2022-09-26,Coos Bay,43.376389,-124.237222,,8.87,-16.82,0.33,-0.47,0.68,7653.0,0.00746,1.864,9,0.79,0.0,0,0.023,False,0.0,0.0,0.34
2022-10-03,Coos Bay,43.376389,-124.237222,,9.02,-16.89,0.59,-0.44,0.65,5625.7,0.0114,2.671,10,0.79,0.0,0,0.023,False,0.0,0.0,0.36
2022-10-10,Coos Bay,43.376389,-124.237222,,8.7,-2.54,0.36,-0.72,0.32,8887.1,0.00595,1.362,10,0.79,1.88,0,0.036,False,0.2,1.88,3.49
2022-10-17,Coos Bay,43.376389,-124.237222,0.3,8.95,-18.63,0.3,-0.48,0.16,5738.5,0.01327,3.062,10,0.3,0.0,0,0.023,False,0.0,0.0,2.86
