channel,date,path,status,message
chla,2010-01-13,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100113.nc,OK,ok
chla,2010-01-14,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100114.nc,OK,ok
chla,2010-01-15,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100115.nc,OK,ok
chla,2010-01-16,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100116.nc,OK,ok
chla,2010-01-17,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100117.nc,OK,ok
chla,2010-01-18,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100118.nc,OK,ok
chla,2010-01-19,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100119.nc,OK,ok
chla,2010-01-20,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100120.nc,OK,ok
chla,2010-01-21,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100121.nc,OK,ok
chla,2010-01-22,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100122.nc,OK,ok
chla,2010-01-23,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100123.nc,OK,ok
chla,2010-01-24,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100124.nc,OK,ok
chla,2010-01-25,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100125.nc,OK,ok
chla,2010-01-27,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100127.nc,OK,ok
chla,2010-01-28,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100128.nc,OK,ok
chla,2010-01-29,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100129.nc,OK,ok
chla,2010-01-30,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100130.nc,OK,ok
chla,2010-01-31,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100131.nc,OK,ok
chla,2010-02-01,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100201.nc,OK,ok
chla,2010-02-02,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100202.nc,OK,ok
chla,2010-01-26,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100126.nc,OK,ok
chla,2010-02-03,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100203.nc,OK,ok
chla,2010-02-04,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100204.nc,OK,ok
chla,2010-02-05,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100205.nc,OK,ok
chla,2010-02-06,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100206.nc,OK,ok
chla,2010-02-07,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100207.nc,OK,ok
chla,2010-02-08,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100208.nc,OK,ok
chla,2010-02-09,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100209.nc,OK,ok
chla,2010-02-10,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100210.nc,OK,ok
chla,2010-02-11,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100211.nc,OK,ok
chla,2010-02-12,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100212.nc,OK,ok
chla,2010-02-13,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100213.nc,OK,ok
chla,2010-02-14,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100214.nc,OK,ok
chla,2010-02-16,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100216.nc,OK,ok
chla,2010-02-17,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100217.nc,OK,ok
chla,2010-02-18,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100218.nc,OK,ok
chla,2010-02-19,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100219.nc,OK,ok
chla,2010-02-20,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100220.nc,OK,ok
chla,2010-02-22,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100222.nc,OK,ok
chla,2010-02-23,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100223.nc,OK,ok
chla,2010-02-26,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100226.nc,OK,ok
chla,2010-02-15,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100215.nc,OK,ok
chla,2010-02-24,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100224.nc,OK,ok
chla,2010-02-25,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100225.nc,OK,ok
chla,2010-02-27,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100227.nc,OK,ok
chla,2010-02-21,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100221.nc,OK,ok
chla,2010-02-28,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100228.nc,OK,ok
chla,2010-03-03,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100303.nc,OK,ok
chla,2010-03-04,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100304.nc,OK,ok
chla,2010-03-01,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100301.nc,OK,ok
chla,2010-03-05,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100305.nc,OK,ok
chla,2010-03-06,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100306.nc,OK,ok
chla,2010-03-02,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100302.nc,OK,ok
chla,2010-03-07,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100307.nc,OK,ok
chla,2010-03-08,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100308.nc,OK,ok
chla,2010-03-09,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100309.nc,OK,ok
chla,2010-03-10,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100310.nc,OK,ok
chla,2010-03-11,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100311.nc,OK,ok
chla,2010-03-12,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100312.nc,OK,ok
chla,2010-03-13,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100313.nc,OK,ok
chla,2010-03-14,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100314.nc,OK,ok
chla,2010-03-15,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100315.nc,OK,ok
chla,2010-03-16,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100316.nc,OK,ok
chla,2010-03-17,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100317.nc,OK,ok
chla,2010-03-18,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100318.nc,OK,ok
chla,2010-03-19,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100319.nc,OK,ok
chla,2010-03-20,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100320.nc,OK,ok
chla,2010-03-21,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100321.nc,OK,ok
chla,2010-03-22,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100322.nc,OK,ok
chla,2010-03-23,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100323.nc,OK,ok
chla,2010-03-24,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100324.nc,OK,ok
chla,2010-03-25,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100325.nc,OK,ok
chla,2010-03-26,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100326.nc,OK,ok
chla,2010-03-27,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100327.nc,OK,ok
chla,2010-03-28,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100328.nc,OK,ok
chla,2010-03-29,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100329.nc,OK,ok
chla,2010-03-30,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100330.nc,OK,ok
chla,2010-03-31,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100331.nc,OK,ok
chla,2010-04-01,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100401.nc,OK,ok
chla,2010-04-02,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100402.nc,OK,ok
chla,2010-04-03,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100403.nc,OK,ok
chla,2010-04-04,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100404.nc,OK,ok
chla,2010-04-05,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100405.nc,OK,ok
chla,2010-04-06,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100406.nc,OK,ok
chla,2010-04-07,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100407.nc,OK,ok
chla,2010-04-08,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100408.nc,OK,ok
chla,2010-04-09,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100409.nc,OK,ok
chla,2010-04-10,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100410.nc,OK,ok
chla,2010-04-11,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100411.nc,OK,ok
chla,2010-04-12,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100412.nc,OK,ok
chla,2010-04-13,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100413.nc,OK,ok
chla,2010-04-14,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100414.nc,OK,ok
chla,2010-04-16,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100416.nc,OK,ok
chla,2010-04-17,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100417.nc,OK,ok
chla,2010-04-18,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100418.nc,OK,ok
chla,2010-04-19,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100419.nc,OK,ok
chla,2010-04-20,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100420.nc,OK,ok
chla,2010-04-21,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100421.nc,OK,ok
chla,2010-04-22,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100422.nc,OK,ok
chla,2010-04-15,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100415.nc,OK,ok
chla,2010-04-24,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100424.nc,OK,ok
chla,2010-04-23,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100423.nc,OK,ok
chla,2010-04-25,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100425.nc,OK,ok
chla,2010-04-26,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100426.nc,OK,ok
chla,2010-04-27,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100427.nc,OK,ok
chla,2010-04-28,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100428.nc,OK,ok
chla,2010-04-29,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100429.nc,OK,ok
chla,2010-04-30,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100430.nc,OK,ok
chla,2010-05-02,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100502.nc,OK,ok
chla,2010-05-01,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100501.nc,OK,ok
chla,2010-05-03,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100503.nc,OK,ok
chla,2010-05-04,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100504.nc,OK,ok
chla,2010-05-05,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100505.nc,OK,ok
chla,2010-05-06,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100506.nc,OK,ok
chla,2010-05-08,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100508.nc,OK,ok
chla,2010-05-07,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100507.nc,OK,ok
chla,2010-05-09,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100509.nc,OK,ok
chla,2010-05-10,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100510.nc,OK,ok
chla,2010-05-11,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100511.nc,OK,ok
chla,2010-05-12,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100512.nc,OK,ok
chla,2010-05-13,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100513.nc,OK,ok
chla,2010-05-14,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100514.nc,OK,ok
chla,2010-05-15,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100515.nc,OK,ok
chla,2010-05-16,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100516.nc,OK,ok
chla,2010-05-17,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100517.nc,OK,ok
chla,2010-05-18,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100518.nc,OK,ok
chla,2010-05-19,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100519.nc,OK,ok
chla,2010-05-20,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100520.nc,OK,ok
chla,2010-05-21,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100521.nc,OK,ok
chla,2010-05-22,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100522.nc,OK,ok
chla,2010-05-23,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100523.nc,OK,ok
chla,2010-05-24,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100524.nc,OK,ok
chla,2010-05-25,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100525.nc,OK,ok
chla,2010-05-26,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100526.nc,OK,ok
chla,2010-05-27,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100527.nc,OK,ok
chla,2010-05-28,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100528.nc,OK,ok
chla,2010-05-30,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100530.nc,OK,ok
chla,2010-05-29,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100529.nc,OK,ok
chla,2010-05-31,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100531.nc,OK,ok
chla,2010-06-01,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100601.nc,OK,ok
chla,2010-06-02,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100602.nc,OK,ok
chla,2010-06-03,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100603.nc,OK,ok
chla,2010-06-04,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100604.nc,OK,ok
chla,2010-06-05,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100605.nc,OK,ok
chla,2010-06-06,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100606.nc,OK,ok
chla,2010-06-07,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100607.nc,OK,ok
chla,2010-06-09,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100609.nc,OK,ok
chla,2010-06-08,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100608.nc,OK,ok
chla,2010-06-11,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100611.nc,OK,ok
chla,2010-06-10,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100610.nc,OK,ok
chla,2010-06-12,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100612.nc,OK,ok
chla,2010-06-13,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100613.nc,OK,ok
chla,2010-06-14,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100614.nc,OK,ok
chla,2010-06-15,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100615.nc,OK,ok
chla,2010-06-16,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100616.nc,OK,ok
chla,2010-06-17,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100617.nc,OK,ok
chla,2010-06-18,/Users/ansonchen/Downloads/GitHub/DATect-Forecasting-Domoic-Acid/ocean anomaly detection/data/raw/chla/chla_20100618.nc,OK,ok
